NIM,IP
1,2,14286
2,2,42857
3,3
4,3,28571
5,1,57143
6,1
7,3,28571
8,1,57143
9,1,85714
10,1,85714
11,3,71429
12,3,14286
13,1,28571
14,1,42857
15,3,14286
16,1,57143
17,2,57143
18,2,71429
19,2,14286
20,2,28571
21,1,85714
22,1,71429
23,2,14286
24,1,85714
25,2,14286
26,3,28571
27,1,85714
28,2,85714
29,1,57143
30,3,14286
31,3,14286
32,2,14286
33,3,42857
34,3,42857
35,2,71429
36,2,71429
37,2,57143
38,2,42857
39,2,28571
40,2,28571
41,3,28571
42,2,85714
43,2,71429
44,2,14286
45,3
46,2
47,2,42857
48,3,42857
49,2,28571
50,3,14286
